Category	Number of Episodes
Curriculum Learning Agent, Level 1	5
Curriculum Learning Agent, Level 1	4
Curriculum Learning Agent, Level 1	5
Curriculum Learning Agent, Level 1	5
Curriculum Learning Agent, Level 1	5
Curriculum Learning Agent, Level 2	12
Curriculum Learning Agent, Level 2	15
Curriculum Learning Agent, Level 2	23
Curriculum Learning Agent, Level 2	22
Curriculum Learning Agent, Level 2	21
Curriculum Learning Agent, Level 3	7
Curriculum Learning Agent, Level 3	6
Curriculum Learning Agent, Level 3	9
Curriculum Learning Agent, Level 3	7
Curriculum Learning Agent, Level 3	6
Curriculum Learning Agent, Level 4	16
Curriculum Learning Agent, Level 4	8
Curriculum Learning Agent, Level 4	12
Curriculum Learning Agent, Level 4	23
Curriculum Learning Agent, Level 4	16
Curriculum Learning Agent, Level 5	11
Curriculum Learning Agent, Level 5	20
Curriculum Learning Agent, Level 5	24
Curriculum Learning Agent, Level 5	25
Curriculum Learning Agent, Level 5	24
Curriculum Learning Agent, Level 6	29
Curriculum Learning Agent, Level 6	35
Curriculum Learning Agent, Level 6	10
Curriculum Learning Agent, Level 6	12
Curriculum Learning Agent, Level 6	19
Curriculum Learning Agent, Level 7	7
Curriculum Learning Agent, Level 7	8
Curriculum Learning Agent, Level 7	6
Curriculum Learning Agent, Level 7	16
Curriculum Learning Agent, Level 7	43
Curriculum Learning Agent, Level 8	32
Curriculum Learning Agent, Level 8	21
Curriculum Learning Agent, Level 8	46
Curriculum Learning Agent, Level 8	9
Curriculum Learning Agent, Level 8	17
Curriculum Learning Agent, Level 9	13
Curriculum Learning Agent, Level 9	57
Curriculum Learning Agent, Level 9	71
Curriculum Learning Agent, Level 9	185
Curriculum Learning Agent, Level 9	91
Curriculum Learning Agent, Level 10	47
Curriculum Learning Agent, Level 10	37
Curriculum Learning Agent, Level 10	30
Curriculum Learning Agent, Level 10	66
Curriculum Learning Agent, Level 10	49
Curriculum Learning Agent, Level 11	4
Curriculum Learning Agent, Level 11	8
Curriculum Learning Agent, Level 11	11
Curriculum Learning Agent, Level 11	11
Curriculum Learning Agent, Level 11	6
Curriculum Learning Agent, Level 12	4
Curriculum Learning Agent, Level 12	6
Curriculum Learning Agent, Level 12	4
Curriculum Learning Agent, Level 12	54
Curriculum Learning Agent, Level 12	18
Curriculum Learning Agent, Level 13	4
Curriculum Learning Agent, Level 13	56
Curriculum Learning Agent, Level 13	14
Curriculum Learning Agent, Level 13	22
Curriculum Learning Agent, Level 13	53
Curriculum Learning Agent, Level 14	12
Curriculum Learning Agent, Level 14	4
Curriculum Learning Agent, Level 14	5
Curriculum Learning Agent, Level 14	16
Curriculum Learning Agent, Level 14	12
Curriculum Learning Agent, Level 15	13
Curriculum Learning Agent, Level 15	7
Curriculum Learning Agent, Level 15	32
Curriculum Learning Agent, Level 15	4
Curriculum Learning Agent, Level 15	6
Curriculum Learning Agent, Level 16	77
Curriculum Learning Agent, Level 16	15
Curriculum Learning Agent, Level 16	10
Curriculum Learning Agent, Level 16	17
Curriculum Learning Agent, Level 16	17
Curriculum Learning Agent, Level 17	26
Curriculum Learning Agent, Level 17	87
Curriculum Learning Agent, Level 17	201
Curriculum Learning Agent, Level 17	119
Curriculum Learning Agent, Level 17	468
Non-Curriculum Learning Agent, Level 17	99
Non-Curriculum Learning Agent, Level 17	9
Non-Curriculum Learning Agent, Level 17	237
Non-Curriculum Learning Agent, Level 17	120
Non-Curriculum Learning Agent, Level 17	106
